Region;Year;Annual CO2 emissions (per capita)
World;1900;1.199.232
World;1901;12.307.372
World;1902;12.517.458
World;1903;13.532.422
World;1904;13.571.923
World;1905;1.432.905
World;1906;14.836.785
World;1907;1.676.299
World;1908;15.976.069
World;1909;16.497.104
World;1910;1.716.262
World;1911;173.124
World;1912;18.065.919
World;1913;19.446.292
World;1914;17.521.608
World;1915;17.155.751
World;1916;18.405.812
World;1917;19.117.817
World;1918;18.731.953
World;1919;16.123.312
World;1920;18.576.044
World;1921;16.189.123
World;1922;1.683.432
World;1923;1.893.368
World;1924;18.824.672
World;1925;18.860.849
World;1926;18.362.813
World;1927;19.864.538
World;1928;19.602.886
World;1929;2.084.881
World;1930;19.021.566
World;1931;16.854.303
World;1932;15.044.751
World;1933;15.680.304
World;1934;16.880.137
World;1935;17.537.812
World;1936;19.043.846
World;1937;2.014.623
World;1938;18.747.287
World;1939;19.639.443
World;1940;2.122.051
World;1941;2.153.978
World;1942;21.315.649
World;1943;215.036
World;1944;21.663.656
World;1945;17.885.866
World;1946;19.376.519
World;1947;21.292.646
World;1948;22.258.415
World;1949;2.103.328
World;1950;237.238
World;1951;25.092.719
World;1952;24.968.188
World;1953;25.189.998
World;1954;2.522.121
World;1955;27.107.303
World;1956;2.829.694
World;1957;28.642.392
World;1958;28.864.362
World;1959;29.810.743
World;1960;31.088.755
World;1961;30.682.025
World;1962;31.172.154
World;1963;32.123.766
World;1964;33.127.992
World;1965;3.389.065
World;1966;34.821.656
World;1967;35.207.915
World;1968;36.382.928
World;1969;3.800.649
World;1970;4.031.552
World;1971;4.111.967
World;1972;42.195.787
World;1973;4.357.756
World;1974;4.257.117
World;1975;41.897.635
World;1976;4.341.634
World;1977;4.387.014
World;1978;4.444.167
World;1979;44.903.517
World;1980;438.398
World;1981;42.029.867
World;1982;4.094.062
World;1983;40.465.407
World;1984;4.112.731
World;1985;4.176.523
World;1986;4.163.081
World;1987;421.461
World;1988;430.166
World;1989;42.841.187
World;1990;42.799
World;1991;4.296.785
World;1992;41.085.906
World;1993;4.087.606
World;1994;40.692.253
World;1995;4.096.046
World;1996;4.163.014
World;1997;413.037
World;1998;40.637.503
World;1999;40.926.967
World;2000;4.147.293
World;2001;41.206.822
World;2002;41.582.055
World;2003;4.324.224
World;2004;44.195.943
World;2005;45.122.457
World;2006;46.083.193
World;2007;4.683.315
World;2008;4.704.022
World;2009;4.565.362
World;2010;47.678.533
World;2011;48.686.357
World;2012;4.878.096
World;2013;48.592.534
World;2014;48.325.562
World;2015;4.775.163
World;2016;4.719.525
World;2017;4.740.302
World;2018;47.850.013
World;2019;4.770.166
World;2020;44.647.303
World;2021;4.654.845
World;2022;4.658.219
